City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
192,Itarema,BR,-2.9248,-39.9167,78.48,81,54,10.85,broken clouds
193,Abha,SA,18.2164,42.5053,51.62,76,0,0.0,clear sky
194,Port Lincoln,AU,-34.7333,135.8667,74.35,54,6,10.63,clear sky
195,Soyo,AO,-6.1349,12.3689,76.33,85,58,3.91,broken clouds
196,Banda Aceh,ID,5.5577,95.3222,86.14,62,58,8.88,broken clouds
197,Torbay,CA,47.6666,-52.7314,32.76,99,100,10.36,freezing rain
198,High Rock,BS,26.6208,-78.2833,68.02,66,0,10.16,clear sky
199,Dusnok,HU,46.3909,18.963,42.53,90,98,6.58,overcast clouds
200,Hermanus,ZA,-34.4187,19.2345,64.8,76,0,18.48,clear sky
201,Copiapo,CL,-27.3667,-70.3333,67.01,59,0,1.3,clear sky
202,Cap-Aux-Meules,CA,47.3821,-61.8597,24.82,86,100,27.63,light snow
203,Baghdad,IQ,33.3406,44.4009,40.91,75,0,5.75,clear sky
204,Mount Pleasant,US,32.7941,-79.8626,61.09,95,75,1.99,moderate rain
205,Peterhead,GB,57.5058,-1.7981,36.57,69,64,16.55,broken clouds
206,Nadym,RU,65.5333,72.5167,-1.86,99,79,9.44,broken clouds
207,Yumen,CN,40.2833,97.2,20.26,29,100,17.96,overcast clouds
208,Segezha,RU,63.7415,34.3222,12.31,85,100,17.2,overcast clouds
209,Talnakh,RU,69.4865,88.3972,-7.42,96,93,3.98,overcast clouds
210,Takoradi,GH,4.8845,-1.7554,78.93,82,49,2.91,scattered clouds
211,Worthington,US,40.0931,-83.018,14.61,88,0,4.61,clear sky
212,Pedernales,DO,18.0384,-71.744,75.85,71,7,3.0,clear sky
213,Salina Cruz,MX,16.1667,-95.2,67.19,64,0,26.69,clear sky
214,Fortuna,US,40.5982,-124.1573,45.52,93,40,0.0,scattered clouds
215,Klaksvik,FO,62.2266,-6.589,34.72,58,98,9.15,overcast clouds
216,Coralville,US,41.6764,-91.5805,3.43,72,0,13.8,clear sky
217,Yerbogachen,RU,61.2767,108.0108,2.12,95,98,5.82,overcast clouds
218,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,82,100,8.57,overcast clouds
219,Port Hedland,AU,-20.3167,118.5667,95.05,59,58,18.41,broken clouds
220,Zabid,YE,14.1951,43.3152,75.97,65,22,7.52,few clouds
221,Saint Anthony,US,45.0205,-93.218,-0.15,73,0,5.75,clear sky
222,Svetlogorsk,BY,52.6333,29.7333,17.33,94,98,11.77,overcast clouds
223,Beloha,MG,-25.1667,45.05,81.54,67,34,18.25,scattered clouds
224,Oloron-Sainte-Marie,FR,43.1944,-0.6107,46.33,92,100,2.24,overcast clouds
225,Imbituba,BR,-28.24,-48.6703,78.69,95,100,7.09,overcast clouds
226,Dutse,NG,11.7594,9.3392,55.18,22,0,7.36,clear sky
227,Burns Lake,CA,54.2331,-125.7533,35.02,86,84,6.15,broken clouds
228,Constitucion,CL,-35.3333,-72.4167,57.74,86,14,10.83,few clouds
229,Nouadhibou,MR,20.931,-17.0347,64.38,59,13,11.5,few clouds
230,Maniitsoq,GL,65.4167,-52.9,6.93,87,100,15.84,light snow
231,Morfelden-Walldorf,DE,49.9947,8.5836,37.76,87,0,9.22,clear sky
232,Gat,IL,31.61,34.7642,51.4,100,89,10.16,overcast clouds
233,Qarqin,AF,37.4185,66.0436,56.86,13,0,30.04,clear sky
234,Totness,SR,5.8833,-56.3167,75.38,90,97,7.34,overcast clouds
235,Coahuayana,MX,18.7333,-103.6833,66.67,79,2,4.18,clear sky
236,Nchelenge,ZM,-9.3451,28.734,66.88,88,100,4.03,overcast clouds
237,Aksu,CN,41.1231,80.2644,28.71,49,99,4.88,overcast clouds
238,Aldan,RU,58.6031,125.3894,-0.99,91,100,4.43,overcast clouds
239,Georgetown,MY,5.4112,100.3354,87.89,71,40,1.01,scattered clouds
240,Alice Town,BS,25.7167,-79.3,74.19,68,0,12.44,clear sky
241,Armizonskoye,RU,55.9461,67.6736,20.61,82,100,10.63,overcast clouds
242,Atasu,KZ,48.6814,71.6433,14.41,75,4,11.3,clear sky
243,Kasongo-Lunda,CD,-6.4667,16.8167,66.74,99,88,0.29,light rain
244,Kitamoto,JP,36.036,139.541,49.01,22,69,14.45,broken clouds
245,Hamilton,US,39.1834,-84.5333,18.84,83,100,4.61,overcast clouds
246,Ogaminana,NG,7.5946,6.2248,70.65,61,1,1.83,clear sky
247,Cayenne,GF,4.9333,-52.3333,80.1,85,75,5.99,light rain
248,Ghosi,IN,26.1083,83.5436,61.68,68,0,7.78,clear sky
249,Cidreira,BR,-30.1811,-50.2056,72.0,93,10,3.83,clear sky
250,Paamiut,GL,61.994,-49.6678,3.42,89,100,9.15,light snow
251,Oranjemund,NA,-28.55,16.4333,63.43,88,38,7.38,scattered clouds
252,Port Alberni,CA,49.2413,-124.8028,46.17,93,93,3.0,overcast clouds
253,Vallenar,CL,-28.5708,-70.7581,68.18,55,0,1.59,clear sky
254,Antalaha,MG,-14.9003,50.2788,79.61,71,100,3.24,overcast clouds
255,Carutapera,BR,-1.195,-46.02,75.18,93,100,4.99,overcast clouds
256,Nuevo Progreso,MX,23.1667,-97.95,49.59,37,100,4.0,overcast clouds
257,Guerrero Negro,MX,27.9769,-114.0611,59.18,35,0,2.77,clear sky
258,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,87,0,5.75,clear sky
259,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.74,95,77,1.5,broken clouds
260,Hualmay,PE,-11.0964,-77.6139,69.51,86,60,7.76,broken clouds
261,Flinders,AU,-34.5833,150.8552,74.48,66,58,11.01,broken clouds
262,Daryapur,IN,20.9333,77.3333,72.93,21,38,6.82,scattered clouds
263,Kattivakkam,IN,13.2167,80.3167,84.29,81,64,4.94,broken clouds
264,Nuuk,GL,64.1835,-51.7216,9.21,52,75,11.5,broken clouds
265,San Carlos,VE,9.6612,-68.5827,73.4,71,49,4.43,scattered clouds
266,Vikulovo,RU,56.8167,70.6107,20.79,84,100,9.13,overcast clouds
267,Sile,TR,41.1754,29.6133,34.57,59,1,7.61,clear sky
