City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Burnie,AU,2022-02-05 03:11:24,-41.0667,145.9167,70.95,62,96,8.3
155,Vanderhoof,CA,2022-02-05 03:11:24,54.0166,-124.0198,37.56,81,100,12.59
156,Uzyn,UA,2022-02-05 03:11:25,49.8262,30.4149,24.76,82,92,6.71
157,Beringovskiy,RU,2022-02-05 03:07:03,63.05,179.3167,-8.21,87,58,12.19
158,Richards Bay,ZA,2022-02-05 03:11:25,-28.783,32.0377,71.51,93,100,15.86
159,Artesia,US,2022-02-05 03:11:26,33.8658,-118.0831,65.25,37,0,1.01
160,Tilichiki,RU,2022-02-05 03:05:20,60.4667,166.1,-0.62,74,100,9.19
161,Eyl,SO,2022-02-05 03:11:26,7.9803,49.8164,68.34,76,24,9.66
162,Cherskiy,RU,2022-02-05 03:06:21,68.75,161.3,-29.94,96,9,3.53
163,Khatanga,RU,2022-02-05 03:05:11,71.9667,102.5,-35.79,100,87,2.53
164,Lipin Bor,RU,2022-02-05 03:11:27,60.2622,37.9763,-5.21,100,100,5.53
165,Talaya,RU,2022-02-05 03:11:28,61.3833,152.75,-24.83,95,56,2.28
166,Faanui,PF,2022-02-05 03:05:06,-16.4833,-151.75,80.64,75,58,13.31
167,Havelock,US,2022-02-05 03:05:48,34.8791,-76.9013,67.01,94,100,7.0
168,Vila Franca Do Campo,PT,2022-02-05 03:05:47,37.7167,-25.4333,59.2,78,100,8.59
169,Tuatapere,NZ,2022-02-05 03:03:26,-46.1333,167.6833,58.82,53,24,8.99
170,La Ronge,CA,2022-02-05 03:11:29,55.1001,-105.2842,-3.1,97,100,9.75
171,Corinth,GR,2022-02-05 03:11:29,37.9407,22.9573,46.69,79,0,4.79
172,Constitucion,CL,2022-02-05 03:06:57,-35.3333,-72.4167,58.15,88,2,11.81
173,Bethel,US,2022-02-05 03:10:28,41.3712,-73.414,30.56,83,100,8.05
174,Hornepayne,CA,2022-02-05 03:09:20,49.2138,-84.7705,-12.46,95,41,2.51
175,Urucara,BR,2022-02-05 03:11:29,-2.5364,-57.76,73.15,95,100,1.97
176,Ribeira Grande,PT,2022-02-05 03:05:12,38.5167,-28.7,58.93,82,25,12.88
177,Candido Mendes,BR,2022-02-05 03:11:30,-1.4467,-45.7167,74.71,95,100,2.37
178,Milove,UA,2022-02-05 03:11:30,49.3787,40.1302,7.03,98,84,6.33
179,Turmalina,BR,2022-02-05 03:11:31,-17.2856,-42.73,67.59,98,100,2.53
180,Chadan,RU,2022-02-05 03:11:31,51.2833,91.5833,-19.89,99,86,1.61
181,Carballo,ES,2022-02-05 03:07:30,43.213,-8.691,49.55,92,99,7.36
182,Mahebourg,MU,2022-02-05 03:05:34,-20.4081,57.7,80.26,89,75,17.27
183,Kargasok,RU,2022-02-05 03:11:31,59.0556,80.8572,21.94,94,100,11.72
184,Wewak,PG,2022-02-05 03:11:32,-3.5534,143.6268,86.07,68,99,14.99
185,Rio Cuarto,AR,2022-02-05 03:11:32,-33.1307,-64.3499,67.19,56,5,12.66
186,Sorong,ID,2022-02-05 03:06:36,-0.8833,131.25,84.74,70,100,15.08
187,Isangel,VU,2022-02-05 03:05:20,-19.55,169.2667,75.18,93,100,13.33
188,Nelson Bay,AU,2022-02-05 03:11:32,-32.7167,152.15,77.29,60,37,4.0
189,Saint George,US,2022-02-05 03:11:33,37.1041,-113.5841,44.35,31,0,3.0
190,Palestine,PS,2022-02-05 03:11:33,31.9216,35.2033,44.02,96,97,12.86
191,Burgeo,CA,2022-02-05 03:11:34,47.6167,-57.6152,22.08,92,100,26.11
192,Hamilton,US,2022-02-05 03:00:55,39.1834,-84.5333,18.84,86,40,0.0
193,Agadez,NE,2022-02-05 03:11:34,19.75,10.25,51.78,32,0,8.75
194,Chuy,UY,2022-02-05 03:06:36,-33.6971,-53.4616,68.81,94,16,4.56
195,Komsomolskiy,UZ,2022-02-05 03:11:34,40.4272,71.7189,27.82,63,100,9.22
196,Rocha,UY,2022-02-05 03:11:35,-34.4833,-54.3333,65.8,96,47,3.04
197,Rock Springs,US,2022-02-05 03:10:03,41.5875,-109.2029,26.04,50,0,16.11
